Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
346.2,  3554,0.01263447,  3274,1.163907E-002, 0.03564, 92.122
347.8,  3916,0.01322433,  3626,1.224500E-002, 0.03341, 92.594
349.4,  4385,0.01452751,  4046,1.340440E-002, 0.03494, 92.269
351.0,  4657,0.01551247,  4307,1.434662E-002, 0.03393, 92.484
352.6,  4635,0.01629666,  4287,1.507309E-002, 0.03390, 92.492
354.1,  4419,0.01706618,  4078,1.574924E-002, 0.03488, 92.283
355.7,  3864,0.01613606,  3573,1.492085E-002, 0.03400, 92.469
357.3,  3192,0.01451722,  2959,1.345753E-002, 0.03292, 92.701
358.9,  2905,0.0138278,  2685,1.278060E-002, 0.03420, 92.427
360.5,  2917,0.01391992,  2690,1.283668E-002, 0.03518, 92.218
362.0,  3079,0.01395711,  2844,1.289185E-002, 0.03448, 92.368
363.6,  3376,0.01480376,  3124,1.369874E-002, 0.03369, 92.536
365.2,  3680,0.0159344,  3404,1.473932E-002, 0.03386, 92.500
366.8,  3788,0.01694751,  3507,1.569032E-002, 0.03347, 92.582
368.3,  3657,0.01732687,  3392,1.607130E-002, 0.03267, 92.754
369.9,  3384,0.01721441,  3141,1.597827E-002, 0.03236, 92.819
371.5,  3117,0.01693154,  2892,1.570934E-002, 0.03254, 92.782
373.0,  2903,0.01612326,  2687,1.492360E-002, 0.03358, 92.559
374.6,  3001,0.01616939,  2786,1.501097E-002, 0.03228, 92.836
376.2,  3620,0.01789004,  3347,1.654087E-002, 0.03405, 92.459
377.7,  4402,0.01961971,  4090,1.822913E-002, 0.03193, 92.912
379.3,  4746,0.02055967,  4409,1.909979E-002, 0.03199, 92.899
380.8,  4468,0.01954303,  4148,1.814335E-002, 0.03227, 92.838
382.4,  4028,0.01766681,  3754,1.646504E-002, 0.03060, 93.198
384.0,  3935,0.0162122,  3663,1.509156E-002, 0.03111, 93.088
385.5,  4444,0.01694053,  4145,1.580074E-002, 0.03025, 93.272
387.1,  4781,0.01815346,  4455,1.691564E-002, 0.03067, 93.181
388.6,  4820,0.01929928,  4496,1.800198E-002, 0.03022, 93.278
390.2,  4908,0.02112403,  4572,1.967789E-002, 0.03080, 93.154
391.7,  4762,0.02150043,  4449,2.008724E-002, 0.02953, 93.427
393.3,  4343,0.01946967,  4061,1.820546E-002, 0.02916, 93.507
394.9,  4516,0.01889494,  4219,1.765230E-002, 0.02954, 93.423
396.4,  5026,0.01911388,  4706,1.789692E-002, 0.02857, 93.633
397.9,  5964,0.02022392,  5582,1.892856E-002, 0.02875, 93.595
399.5,  7824,0.02396491,  7336,2.247017E-002, 0.02797, 93.763
401.0,  9796,0.02725247,  9186,2.555545E-002, 0.02792, 93.773
402.6, 11279,0.02944947, 10580,2.762438E-002, 0.02778, 93.803
404.1, 12198,0.03098292, 11459,2.910586E-002, 0.02714, 93.942
405.7, 12461,0.03197493, 11724,3.008378E-002, 0.02648, 94.086
407.2, 12210,0.03256407, 11492,3.064916E-002, 0.02632, 94.120
408.8, 11725,0.0328769, 11053,3.099261E-002, 0.02563, 94.269
410.3, 11043,0.03270937, 10423,3.087293E-002, 0.02509, 94.386
411.8, 10429,0.03242376,  9863,3.066407E-002, 0.02423, 94.573
413.4, 10198,0.0326438,  9651,3.089285E-002, 0.02394, 94.636
414.9, 10052,0.03226692,  9523,3.056883E-002, 0.02348, 94.737
416.4, 10280,0.03162128,  9761,3.002484E-002, 0.02250, 94.951
418.0, 11046,0.03091775, 10498,2.938390E-002, 0.02210, 95.039
419.5, 12071,0.03061206, 11477,2.910567E-002, 0.02191, 95.079
421.1, 13244,0.03076581, 12612,2.929768E-002, 0.02124, 95.228
422.6, 14317,0.03060975, 13640,2.916232E-002, 0.02104, 95.271
424.1, 15091,0.03054418, 14385,2.911524E-002, 0.02081, 95.322
425.6, 15437,0.03085856, 14736,2.945726E-002, 0.02018, 95.459
427.2, 15130,0.03078955, 14443,2.939151E-002, 0.02018, 95.459
428.7, 14276,0.03005098, 13638,2.870799E-002, 0.01986, 95.531
430.2, 12970,0.02848212, 12394,2.721722E-002, 0.01973, 95.559
431.8, 12279,0.0282417, 11742,2.700660E-002, 0.01942, 95.627
433.3, 12362,0.02938447, 11836,2.813417E-002, 0.01888, 95.745
434.8, 12375,0.02987325, 11855,2.861797E-002, 0.01864, 95.798
436.4, 12542,0.03041435, 12029,2.917033E-002, 0.01814, 95.910
437.9, 12623,0.03023209, 12103,2.898669E-002, 0.01827, 95.881
439.4, 12716,0.02960285, 12207,2.841790E-002, 0.01774, 95.997
440.9, 13414,0.03000712, 12876,2.880361E-002, 0.01778, 95.989
442.4, 14360,0.03074476, 13785,2.951369E-002, 0.01775, 95.996
444.0, 15320,0.03120684, 14717,2.997853E-002, 0.01744, 96.064
445.5, 16271,0.03101253, 15637,2.980412E-002, 0.01726, 96.103
447.0, 17565,0.03138866, 16887,3.017707E-002, 0.01710, 96.140
448.5, 18875,0.03250275, 18142,3.124052E-002, 0.01720, 96.117
450.0, 19762,0.03373373, 19013,3.245519E-002, 0.01678, 96.210
451.5, 19969,0.03434668, 19209,3.303948E-002, 0.01685, 96.194
453.1, 19453,0.03414002, 18708,3.283254E-002, 0.01696, 96.170
454.6, 18717,0.03367188, 18013,3.240539E-002, 0.01665, 96.239
456.1, 18302,0.033877, 17627,3.262758E-002, 0.01632, 96.312
457.6, 17917,0.0339348, 17254,3.267908E-002, 0.01638, 96.300
459.1, 17456,0.03356789, 16821,3.234678E-002, 0.01609, 96.362
460.6, 17149,0.0333891, 16516,3.215665E-002, 0.01633, 96.309
462.1, 16718,0.03392082, 16107,3.268110E-002, 0.01617, 96.345
463.6, 15241,0.03410936, 14698,3.289412E-002, 0.01576, 96.437
465.1, 13481,0.03239484, 12989,3.121257E-002, 0.01615, 96.350
466.6, 13439,0.02990178, 12955,2.882488E-002, 0.01593, 96.399
468.2, 15469,0.02965407, 14909,2.858055E-002, 0.01601, 96.380
469.7, 17846,0.03008836, 17206,2.900932E-002, 0.01586, 96.414
471.2, 19566,0.03048383, 18880,2.941504E-002, 0.01550, 96.494
472.7, 20518,0.03075648, 19793,2.966971E-002, 0.01562, 96.467
474.2, 21092,0.03092087, 20339,2.981697E-002, 0.01579, 96.430
475.7, 21289,0.03082647, 20531,2.972889E-002, 0.01575, 96.439
477.2, 21344,0.03097014, 20583,2.986593E-002, 0.01577, 96.435
478.7, 21150,0.0312597, 20399,3.014972E-002, 0.01570, 96.449
480.2, 20634,0.03148748, 19910,3.038266E-002, 0.01551, 96.491
481.7, 19890,0.03152565, 19199,3.043042E-002, 0.01536, 96.526
483.2, 18998,0.03123271, 18362,3.018713E-002, 0.01479, 96.652
484.7, 17873,0.03029474, 17280,2.928960E-002, 0.01465, 96.682
486.2, 16622,0.0287893, 16080,2.785056E-002, 0.01440, 96.739
487.7, 15916,0.027853, 15402,2.695350E-002, 0.01426, 96.771
489.2, 16096,0.0281519, 15583,2.725467E-002, 0.01407, 96.813
490.6, 16342,0.02815727, 15837,2.728715E-002, 0.01363, 96.910
492.1, 16557,0.02783232, 16049,2.697837E-002, 0.01353, 96.932
493.6, 16936,0.02747019, 16422,2.663648E-002, 0.01338, 96.965
495.1, 17673,0.02744617, 17151,2.663550E-002, 0.01302, 97.046
496.6, 18469,0.02738953, 17931,2.659167E-002, 0.01284, 97.087
498.1, 19125,0.02713838, 18587,2.637495E-002, 0.01239, 97.187
499.6, 19592,0.02688022, 19044,2.612837E-002, 0.01232, 97.203
501.1, 19780,0.02662388, 19236,2.589166E-002, 0.01211, 97.250
502.6, 19763,0.02654171, 19229,2.582455E-002, 0.01190, 97.298
504.1, 19705,0.02673969, 19182,2.602997E-002, 0.01168, 97.346
505.5, 19643,0.02702877, 19131,2.632426E-002, 0.01147, 97.393
507.0, 19499,0.02716211, 19000,2.646700E-002, 0.01126, 97.441
508.5, 19251,0.02714391, 18775,2.647275E-002, 0.01087, 97.527
510.0, 18910,0.02717367, 18447,2.650834E-002, 0.01077, 97.552
511.5, 18425,0.0271953, 17987,2.654881E-002, 0.01045, 97.623
513.0, 17682,0.02689432, 17277,2.627832E-002, 0.01006, 97.710
514.4, 16872,0.02635406, 16495,2.576519E-002, 0.00981, 97.766
515.9, 15984,0.02555842, 15641,2.500996E-002, 0.00942, 97.854
517.4, 15144,0.02462414, 14831,2.411521E-002, 0.00907, 97.933
518.9, 14669,0.02410117, 14381,2.362798E-002, 0.00861, 98.037
520.4, 14755,0.02439002, 14483,2.394040E-002, 0.00808, 98.157
521.8, 14880,0.0246264, 14617,2.419114E-002, 0.00774, 98.233
523.3, 14945,0.02476387, 14692,2.434464E-002, 0.00741, 98.307
524.8, 14970,0.02491008, 14734,2.451738E-002, 0.00690, 98.424
526.2, 14667,0.02466989, 14443,2.429313E-002, 0.00668, 98.473
527.7, 14269,0.02442853, 14065,2.407928E-002, 0.00625, 98.570
529.2, 14233,0.02458039, 14044,2.425399E-002, 0.00581, 98.672
