Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
2437.7,     3,1.93445E-4,    19,1.225152E-003,-0.80163,633.333
2440.0,     2,1.3375E-4,    20,1.337500E-003,-1.00000,1000.000
2442.2,     5,3.433167E-4,    10,6.866333E-004,-0.30103,200.000
2444.5,    12,8.6078E-4,     3,2.151950E-004, 0.60206, 25.000
2446.8,    19,0.001391908,     4,2.930333E-004, 0.67669, 21.053
2449.0,    17,0.0012886,     7,5.306000E-004, 0.38535, 41.176
2451.3,    -1,-8.034E-5,     1,8.034000E-005, 0.00000,100.000
2453.5,    -4,-3.359133E-4,     0,0.000000E+000, 0.00000,100.000
2455.8,     8,6.9356E-4,     7,6.068650E-004, 0.05799, 87.500
2458.0,    11,9.56945E-4,     5,4.349750E-004, 0.34242, 45.455
2460.3,    10,8.886E-4,     7,6.220200E-004, 0.15490, 70.000
2462.5,     6,5.6219E-4,     9,8.432850E-004,-0.17609,150.000
2464.8,     7,6.9846E-4,    -2,-1.995600E-004, 0.84510, 14.286
2467.0,    10,0.001059883,     0,0.000000E+000, 1.00000, 10.000
2469.2,    12,0.0013016,    -2,-2.169333E-004, 1.07918,  8.333
2471.5,    14,0.001597237,    -1,-1.140883E-004, 1.14613,  7.143
2473.7,     6,7.4052E-4,     9,1.110780E-003,-0.17609,150.000
2475.9,    -2,-2.569633E-4,     3,3.854450E-004,-0.47712,300.000
2478.2,    -2,-2.6902E-4,    -1,-1.345100E-004, 0.00000,100.000
2480.4,    10,0.00143305,    -5,-7.165250E-004, 1.00000, 10.000
2482.6,    11,0.001743152,    -8,-1.267747E-003, 1.04139,  9.091
2484.8,    -1,-1.741517E-4,     0,0.000000E+000, 0.00000,100.000
2487.0,    -2,-3.646967E-4,     7,1.276438E-003,-0.84510,700.000
2489.2,     0,0.0,    -4,-7.708733E-004, 0.00000,100.000
2491.5,   -10,-0.002104517,     0,0.000000E+000, 0.00000,100.000
2493.7,    -6,-0.00140354,    14,3.274927E-003,-1.14613,1400.000
2495.9,     3,7.35605E-4,    10,2.452017E-003,-0.52288,333.333
2498.1,     0,0.0,     2,5.733033E-004,-0.30103,200.000
2500.3,     0,0.0,     1,3.293183E-004, 0.00000,100.000
2502.5,     0,0.0,     0,0.000000E+000, 0.00000,100.000
2504.7,     6,0.00199105,     1,3.318417E-004, 0.77815, 16.667
2506.9,     6,0.00225535,    -3,-1.127675E-003, 0.77815, 16.667
2509.1,    -1,-3.855183E-4,   -11,-4.240702E-003, 0.00000,100.000
