Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
346.2,  3832,0.01362276,  3498,1.243539E-002, 0.03961, 91.284
347.8,  4228,0.01427796,  3855,1.301834E-002, 0.04011, 91.178
349.4,  4735,0.01568706,  4305,1.426247E-002, 0.04135, 90.919
351.0,  5038,0.01678158,  4565,1.520602E-002, 0.04282, 90.611
352.6,  5003,0.01759055,  4536,1.594858E-002, 0.04256, 90.666
354.1,  4780,0.01846036,  4322,1.669156E-002, 0.04374, 90.418
355.7,  4184,0.01747238,  3765,1.572264E-002, 0.04583, 89.986
357.3,  3456,0.01571789,  3108,1.413518E-002, 0.04609, 89.931
358.9,  3137,0.01493212,  2819,1.341844E-002, 0.04642, 89.863
360.5,  3149,0.01502703,  2832,1.351430E-002, 0.04608, 89.933
362.0,  3324,0.01506769,  2982,1.351741E-002, 0.04715, 89.711
363.6,  3649,0.01600087,  3284,1.440034E-002, 0.04577, 89.997
365.2,  3978,0.01722474,  3560,1.541480E-002, 0.04821, 89.492
366.8,  4099,0.01833893,  3662,1.638379E-002, 0.04896, 89.339
368.3,  3959,0.01875774,  3537,1.675831E-002, 0.04895, 89.341
369.9,  3676,0.01869981,  3270,1.663449E-002, 0.05083, 88.955
371.5,  3380,0.01836016,  3008,1.633946E-002, 0.05064, 88.994
373.0,  3136,0.01741734,  2795,1.552343E-002, 0.04999, 89.126
374.6,  3247,0.01749484,  2898,1.561442E-002, 0.04938, 89.252
376.2,  3903,0.01928863,  3478,1.718828E-002, 0.05007, 89.111
377.7,  4771,0.02126435,  4243,1.891105E-002, 0.05094, 88.933
379.3,  5148,0.02230114,  4565,1.977558E-002, 0.05220, 88.675
380.8,  4856,0.02124014,  4295,1.878633E-002, 0.05332, 88.447
382.4,  4386,0.019237,  3877,1.700452E-002, 0.05357, 88.395
384.0,  4275,0.017613,  3785,1.559420E-002, 0.05287, 88.538
385.5,  4826,0.01839671,  4265,1.625818E-002, 0.05367, 88.375
387.1,  5195,0.01972542,  4593,1.743962E-002, 0.05349, 88.412
388.6,  5234,0.02095694,  4628,1.853051E-002, 0.05344, 88.422
390.2,  5321,0.02290158,  4702,2.023741E-002, 0.05371, 88.367
391.7,  5170,0.02334255,  4561,2.059292E-002, 0.05443, 88.221
393.3,  4719,0.02115528,  4166,1.867618E-002, 0.05413, 88.281
394.9,  4900,0.0205016,  4310,1.803304E-002, 0.05572, 87.959
396.4,  5451,0.02073015,  4799,1.825060E-002, 0.05533, 88.039
397.9,  6461,0.02190925,  5691,1.929818E-002, 0.05511, 88.082
399.5,  8501,0.02603856,  7469,2.287755E-002, 0.05621, 87.860
401.0, 10641,0.02960326,  9339,2.598110E-002, 0.05668, 87.764
402.6, 12255,0.03199781, 10746,2.805781E-002, 0.05707, 87.687
404.1, 13270,0.0337058, 11606,2.947924E-002, 0.05819, 87.460
405.7, 13555,0.03478213, 11848,3.040197E-002, 0.05845, 87.407
407.2, 13279,0.03541509, 11595,3.092387E-002, 0.05889, 87.318
408.8, 12748,0.03574539, 11132,3.121413E-002, 0.05887, 87.324
410.3, 12010,0.03557362, 10467,3.100325E-002, 0.05972, 87.152
411.8, 11334,0.03523741,  9885,3.073247E-002, 0.05941, 87.215
413.4, 11093,0.03550869,  9662,3.092806E-002, 0.05998, 87.100
414.9, 10915,0.03503715,  9515,3.054315E-002, 0.05961, 87.174
416.4, 11169,0.03435584,  9728,2.992333E-002, 0.05999, 87.098
418.0, 12011,0.03361879, 10452,2.925515E-002, 0.06038, 87.020
419.5, 13112,0.03325203, 11407,2.892815E-002, 0.06050, 86.997
421.1, 14397,0.03344423, 12516,2.907467E-002, 0.06081, 86.935
422.6, 15563,0.03327369, 13526,2.891859E-002, 0.06092, 86.911
424.1, 16408,0.03320979, 14244,2.882986E-002, 0.06142, 86.811
425.6, 16789,0.03356121, 14566,2.911743E-002, 0.06168, 86.759
427.2, 16463,0.03350221, 14268,2.903538E-002, 0.06215, 86.667
428.7, 15529,0.03268855, 13448,2.830804E-002, 0.06249, 86.599
430.2, 14107,0.03097897, 12220,2.683512E-002, 0.06236, 86.624
431.8, 13347,0.0306981, 11559,2.658570E-002, 0.06246, 86.604
433.3, 13442,0.03195163, 11647,2.768492E-002, 0.06225, 86.646
434.8, 13454,0.03247796, 11640,2.809896E-002, 0.06290, 86.517
436.4, 13629,0.03305033, 11807,2.863198E-002, 0.06232, 86.631
437.9, 13726,0.03287377, 11872,2.843344E-002, 0.06302, 86.493
439.4, 13809,0.03214735, 11939,2.779399E-002, 0.06319, 86.458
440.9, 14560,0.03257072, 12591,2.816607E-002, 0.06310, 86.477
442.4, 15576,0.03334822, 13474,2.884783E-002, 0.06296, 86.505
444.0, 16621,0.03385698, 14364,2.925947E-002, 0.06338, 86.421
