Wvl,Raw Counts (Ref.),Rad. (Ref.),Raw Counts (Target),Rad. (Target),-log Reflect.,Reflect. %
346.2,3885,0.01381118,   378,6.718950E-004, 1.31293,  4.865
347.8,4293,0.01449746,   412,6.956620E-004, 1.31889,  4.799
349.4,4807,0.01592559,   465,7.702725E-004, 1.31545,  4.837
351.0,5106,0.01700809,   495,8.244225E-004, 1.31451,  4.847
352.6,5088,0.01788941,   494,8.684520E-004, 1.31385,  4.855
354.1,4854,0.01874615,   484,9.346040E-004, 1.30228,  4.986
355.7,4244,0.01772294,   439,9.166320E-004, 1.28634,  5.172
357.3,3504,0.01593619,   384,8.732160E-004, 1.26126,  5.479
358.9,3177,0.01512252,   359,8.544200E-004, 1.24795,  5.650
360.5,3187,0.01520836,   365,8.708900E-004, 1.24212,  5.726
362.0,3376,0.01530341,   390,8.839350E-004, 1.23837,  5.776
363.6,3701,0.01622889,   436,9.559300E-004, 1.22986,  5.890
365.2,4030,0.0174499,   477,1.032705E-003, 1.22782,  5.918
366.8,4153,0.01858052,   501,1.120737E-003, 1.21955,  6.032
368.3,4006,0.01898043,   506,1.198714E-003, 1.19959,  6.316
369.9,3717,0.01890838,   484,1.231054E-003, 1.18638,  6.511
371.5,3416,0.01855571,   464,1.260224E-003, 1.16803,  6.792
373.0,3176,0.0176395,   456,1.266312E-003, 1.14395,  7.179
374.6,3285,0.01769958,   486,1.309284E-003, 1.13093,  7.397
376.2,3936,0.01945171,   597,1.475187E-003, 1.12011,  7.584
377.7,4818,0.02147383,   743,1.655776E-003, 1.11291,  7.711
379.3,5198,0.02251774,   822,1.780452E-003, 1.10199,  7.907
380.8,4901,0.02143697,   810,1.771470E-003, 1.08283,  8.264
382.4,4425,0.01940805,   769,1.686417E-003, 1.06102,  8.689
384.0,4313,0.01776956,   792,1.631520E-003, 1.03708,  9.182
385.5,4866,0.01854919,   929,1.770674E-003, 1.02019,  9.546
387.1,5239,0.01989248,  1047,1.987730E-003, 1.00033,  9.992
388.6,5268,0.02109307,  1130,2.262260E-003, 0.96960, 10.725
390.2,5356,0.02305222,  1242,2.672784E-003, 0.93575, 11.594
391.7,5203,0.02349155,  1320,2.979900E-003, 0.89671, 12.685
393.3,4743,0.02126287,  1334,2.990161E-003, 0.85193, 14.063
394.9,4923,0.02059783,  1555,3.253060E-003, 0.80153, 15.793
396.4,5475,0.02082143,  1898,3.609047E-003, 0.76112, 17.333
397.9,6483,0.02198385,  2524,4.279442E-003, 0.71072, 19.466
399.5,8527,0.0261182,  3684,5.642046E-003, 0.66551, 21.602
401.0,10673,0.02969229,  5039,7.009249E-003, 0.62697, 23.606
402.6,12279,0.03206047,  6304,8.229872E-003, 0.59058, 25.670
404.1,13301,0.03378454,  7366,9.354820E-003, 0.55768, 27.690
405.7,13587,0.03486424,  8074,1.035894E-002, 0.52706, 29.712
407.2,13311,0.03550044,  8481,1.130941E-002, 0.49679, 31.857
408.8,12789,0.03586036,  8699,1.219600E-002, 0.46840, 34.010
410.3,12049,0.03568914,  8698,1.288174E-002, 0.44256, 36.094
411.8,11380,0.03538042,  8694,1.351482E-002, 0.41795, 38.199
413.4,11142,0.03566554,  8912,1.426366E-002, 0.39802, 39.993
414.9,10965,0.03519765,  9117,1.463279E-002, 0.38119, 41.573
416.4,11228,0.03453733,  9650,1.484170E-002, 0.36681, 42.973
418.0,12064,0.03376714, 10666,1.492707E-002, 0.35452, 44.206
419.5,13180,0.03342448, 11887,1.507272E-002, 0.34587, 45.095
421.1,14467,0.03360684, 13262,1.540381E-002, 0.33880, 45.835
422.6,15637,0.03343191, 14485,1.548447E-002, 0.33426, 46.316
424.1,16480,0.03335552, 15391,1.557569E-002, 0.33072, 46.696
425.6,16860,0.03370314, 15840,1.583208E-002, 0.32813, 46.975
427.2,16529,0.03363652, 15601,1.587402E-002, 0.32612, 47.193
428.7,15595,0.03282748, 14765,1.554016E-002, 0.32478, 47.339
430.2,14164,0.03110414, 13457,1.477579E-002, 0.32327, 47.504
431.8,13393,0.0308039, 12778,1.469470E-002, 0.32144, 47.704
433.3,13481,0.03204434, 12904,1.533640E-002, 0.32003, 47.860
434.8,13493,0.0325721, 12956,1.563789E-002, 0.31867, 48.010
436.4,13670,0.03314975, 13165,1.596256E-002, 0.31738, 48.153
437.9,13758,0.03295041, 13278,1.590041E-002, 0.31645, 48.256
439.4,13831,0.03219857, 13402,1.559993E-002, 0.31471, 48.449
440.9,14580,0.03261546, 14152,1.582901E-002, 0.31397, 48.532
442.4,15607,0.03341459, 15173,1.624270E-002, 0.31328, 48.610
444.0,16637,0.03388957, 16185,1.648442E-002, 0.31299, 48.642
445.5,17662,0.03366377, 17204,1.639541E-002, 0.31244, 48.703
447.0,19050,0.03404235, 18568,1.659051E-002, 0.31216, 48.735
448.5,20450,0.0352149, 19937,1.716576E-002, 0.31206, 48.746
450.0,21415,0.03655541, 20885,1.782535E-002, 0.31191, 48.763
451.5,21620,0.0371864, 21088,1.813568E-002, 0.31185, 48.770
453.1,21049,0.036941, 20538,1.802210E-002, 0.31170, 48.786
454.6,20250,0.03642975, 19767,1.778042E-002, 0.31151, 48.807
456.1,19793,0.03663684, 19330,1.788992E-002, 0.31131, 48.830
457.6,19359,0.03666595, 18912,1.790966E-002, 0.31118, 48.845
459.1,18843,0.03623509, 18428,1.771852E-002, 0.31070, 48.899
460.6,18493,0.03600587, 18104,1.762424E-002, 0.31026, 48.948
462.1,18025,0.03657273, 17655,1.791100E-002, 0.31004, 48.974
463.6,16449,0.03681286, 16115,1.803269E-002, 0.30994, 48.985
465.1,14528,0.03491078, 14249,1.712017E-002, 0.30945, 49.040
466.6,14453,0.03215793, 14189,1.578526E-002, 0.30904, 49.087
468.2,16616,0.03185287, 16335,1.565710E-002, 0.30844, 49.154
469.7,19173,0.03232568, 18869,1.590657E-002, 0.30797, 49.207
471.2,21017,0.03274449, 20717,1.613854E-002, 0.30727, 49.286
472.7,22030,0.03302297, 21723,1.628139E-002, 0.30712, 49.303
474.2,22632,0.03317851, 22330,1.636789E-002, 0.30686, 49.333
475.7,22828,0.03305494, 22527,1.630955E-002, 0.30679, 49.341
477.2,22875,0.03319163, 22583,1.638397E-002, 0.30661, 49.362
478.7,22661,0.03349296, 22368,1.652995E-002, 0.30668, 49.354
480.2,22104,0.0337307, 21836,1.666087E-002, 0.30633, 49.394
481.7,21305,0.03376843, 21033,1.666865E-002, 0.30661, 49.362
483.2,20353,0.03346033, 20098,1.652056E-002, 0.30651, 49.374
484.7,19147,0.03245417, 18916,1.603131E-002, 0.30630, 49.397
486.2,17799,0.03082787, 17590,1.523294E-002, 0.30616, 49.413
487.7,17029,0.02980075, 16836,1.473150E-002, 0.30598, 49.433
489.2,17210,0.03010029, 17020,1.488399E-002, 0.30585, 49.448
490.6,17473,0.03010598, 17292,1.489706E-002, 0.30555, 49.482
492.1,17692,0.02974025, 17521,1.472640E-002, 0.30525, 49.517
493.6,18097,0.02935333, 17913,1.452744E-002, 0.30547, 49.492
495.1,18868,0.029302, 18688,1.451123E-002, 0.30519, 49.523
496.6,19722,0.02924773, 19547,1.449410E-002, 0.30490, 49.556
498.1,20414,0.02896747, 20245,1.436383E-002, 0.30464, 49.586
499.6,20926,0.02871047, 20765,1.424479E-002, 0.30438, 49.615
501.1,21113,0.0284181, 20958,1.410473E-002, 0.30423, 49.633
502.6,21093,0.0283279, 20942,1.406255E-002, 0.30415, 49.642
504.1,21018,0.02852143, 20878,1.416572E-002, 0.30393, 49.667
505.5,20939,0.02881206, 20807,1.431522E-002, 0.30378, 49.685
507.0,20787,0.02895629, 20674,1.439944E-002, 0.30340, 49.728
508.5,20527,0.02894307, 20415,1.439258E-002, 0.30341, 49.727
510.0,20159,0.02896848, 20056,1.441024E-002, 0.30325, 49.745
511.5,19639,0.02898716, 19546,1.442495E-002, 0.30309, 49.763
513.0,18849,0.02866933, 18765,1.427078E-002, 0.30297, 49.777
514.4,17975,0.02807695, 17902,1.398146E-002, 0.30280, 49.797
515.9,17044,0.02725336, 16977,1.357311E-002, 0.30274, 49.803
517.4,16143,0.02624852, 16076,1.306979E-002, 0.30284, 49.792
518.9,15629,0.02567845, 15577,1.279651E-002, 0.30248, 49.834
520.4,15732,0.026005, 15673,1.295373E-002, 0.30266, 49.812
521.8,15866,0.02625823, 15813,1.308526E-002, 0.30248, 49.833
523.3,15932,0.02639932, 15880,1.315658E-002, 0.30245, 49.837
524.8,15964,0.0265641, 15917,1.324294E-002, 0.30231, 49.853
526.2,15640,0.02630648, 15600,1.311960E-002, 0.30214, 49.872
527.7,15225,0.0260652, 15193,1.300521E-002, 0.30194, 49.895
529.2,15176,0.02620895, 15145,1.307771E-002, 0.30192, 49.898
530.7,15596,0.02641962, 15568,1.318610E-002, 0.30181, 49.910
532.1,16178,0.02604658, 16147,1.299834E-002, 0.30186, 49.904
533.6,17027,0.02579591, 17008,1.288356E-002, 0.30151, 49.944
535.1,18074,0.02597234, 18053,1.297108E-002, 0.30153, 49.942
536.5,18888,0.02604655, 18873,1.301293E-002, 0.30138, 49.960
538.0,19347,0.02596367, 19348,1.298251E-002, 0.30101, 50.003
539.5,19473,0.02572383, 19481,1.286720E-002, 0.30085, 50.021
540.9,19408,0.02552152, 19415,1.276536E-002, 0.30087, 50.018
542.4,19294,0.02554526, 19305,1.277991E-002, 0.30078, 50.029
543.9,19190,0.02579136, 19214,1.291181E-002, 0.30049, 50.063
545.3,18888,0.02595211, 18917,1.299598E-002, 0.30036, 50.077
546.8,18386,0.02597942, 18414,1.300949E-002, 0.30037, 50.076
548.2,17823,0.02591464, 17870,1.299149E-002, 0.29989, 50.132
549.7,17297,0.02587631, 17338,1.296882E-002, 0.30000, 50.119
551.2,16840,0.02588308, 16887,1.297766E-002, 0.29982, 50.140
552.6,16385,0.02572445, 16434,1.290069E-002, 0.29973, 50.150
554.1,16064,0.02565421, 16120,1.287182E-002, 0.29952, 50.174
555.5,15789,0.02548345, 15841,1.278369E-002, 0.29960, 50.165
557.0,15514,0.02516371, 15568,1.262565E-002, 0.29952, 50.174
558.5,15216,0.02468035, 15281,1.239289E-002, 0.29918, 50.214
559.9,15148,0.02440343, 15223,1.226213E-002, 0.29889, 50.248
561.4,15268,0.02430666, 15351,1.221940E-002, 0.29868, 50.272
562.8,15478,0.02428498, 15568,1.221310E-002, 0.29851, 50.291
564.3,15689,0.02420813, 15790,1.218199E-002, 0.29824, 50.322
565.7,15870,0.02404305, 15976,1.210182E-002, 0.29814, 50.334
567.2,16104,0.02396275, 16213,1.206247E-002, 0.29810, 50.338
568.6,16356,0.02389612, 16475,1.203499E-002, 0.29788, 50.364
570.1,16492,0.023699, 16614,1.193716E-002, 0.29783, 50.370
571.5,16746,0.02364535, 16876,1.191446E-002, 0.29767, 50.388
573.0,17103,0.02380738, 17250,1.200600E-002, 0.29731, 50.430
574.4,17372,0.02390387, 17532,1.206202E-002, 0.29705, 50.461
575.8,17412,0.02385444, 17581,1.204299E-002, 0.29684, 50.485
577.3,17297,0.02381797, 17473,1.203016E-002, 0.29663, 50.509
578.7,17124,0.02385373, 17302,1.205084E-002, 0.29654, 50.520
580.2,16848,0.0240084, 17044,1.214385E-002, 0.29601, 50.582
581.6,16545,0.0243377, 16750,1.231963E-002, 0.29568, 50.620
583.0,16089,0.02458399, 16296,1.245014E-002, 0.29548, 50.643
584.5,15491,0.02458422, 15707,1.246350E-002, 0.29502, 50.697
585.9,14887,0.02437002, 15106,1.236426E-002, 0.29469, 50.736
587.4,14384,0.02405005, 14605,1.220978E-002, 0.29441, 50.768
588.8,13825,0.0233919, 14044,1.188122E-002, 0.29420, 50.792
590.2,13458,0.02297281, 13675,1.167161E-002, 0.29408, 50.806
591.7,13412,0.02306864, 13650,1.173900E-002, 0.29339, 50.887
593.1,13429,0.02320531, 13674,1.181434E-002, 0.29318, 50.912
594.5,13318,0.02309341, 13572,1.176692E-002, 0.29283, 50.954
596.0,13245,0.02300657, 13510,1.173344E-002, 0.29243, 51.000
597.4,13223,0.02295513, 13503,1.172060E-002, 0.29193, 51.059
598.8,13226,0.02286775, 13516,1.168458E-002, 0.29161, 51.096
600.3,13238,0.02272965, 13541,1.162495E-002, 0.29120, 51.144
601.7,13297,0.02257831, 13611,1.155574E-002, 0.29089, 51.181
603.1,13465,0.02255388, 13795,1.155331E-002, 0.29051, 51.225
604.5,13739,0.02260066, 14079,1.157998E-002, 0.29041, 51.237
606.0,14002,0.02255722, 14366,1.157181E-002, 0.28988, 51.300
607.4,14231,0.02242806, 14602,1.150638E-002, 0.28985, 51.303
608.8,14475,0.02224808, 14866,1.142452E-002, 0.28945, 51.351
610.2,14726,0.02207427, 15135,1.134368E-002, 0.28913, 51.389
611.7,15017,0.02196987, 15453,1.130387E-002, 0.28860, 51.452
613.1,15289,0.02186327, 15734,1.124981E-002, 0.28857, 51.455
614.5,15531,0.02172787, 16001,1.119270E-002, 0.28808, 51.513
615.9,15669,0.02156054, 16154,1.111395E-002, 0.28779, 51.548
617.3,15846,0.02153471, 16367,1.112138E-002, 0.28698, 51.644
618.8,16044,0.02170753, 16581,1.121705E-002, 0.28673, 51.674
620.2,16192,0.02192397, 16738,1.133163E-002, 0.28663, 51.686
621.6,16100,0.0219443, 16663,1.135583E-002, 0.28610, 51.748
623.0,15846,0.02183579, 16419,1.131269E-002, 0.28560, 51.808
624.4,15518,0.02164761, 16090,1.122278E-002, 0.28531, 51.843
625.8,15228,0.02153239, 15815,1.118121E-002, 0.28460, 51.927
627.2,14907,0.02139155, 15487,1.111192E-002, 0.28445, 51.945
628.6,14570,0.0212722, 15156,1.106388E-002, 0.28390, 52.011
630.0,14233,0.02116447, 14803,1.100603E-002, 0.28398, 52.002
631.5,13906,0.02113712, 14486,1.100936E-002, 0.28328, 52.085
632.9,13607,0.02119971, 14178,1.104466E-002, 0.28318, 52.098
634.3,13321,0.02128696, 13890,1.109811E-002, 0.28286, 52.136
635.7,12989,0.02132794, 13554,1.112783E-002, 0.28254, 52.175
637.1,12680,0.02140384, 13237,1.117203E-002, 0.28236, 52.196
638.5,12365,0.02144091, 12923,1.120424E-002, 0.28186, 52.256
639.9,11978,0.02135677, 12532,1.117228E-002, 0.28139, 52.313
641.3,11598,0.02120114, 12134,1.109048E-002, 0.28141, 52.311
